Tanggal,Jumlah sampah,T2M,Jumlah Sampah Prediction,T2M Prediction
2021-01-01,27726357.0,25.903,,
2021-02-01,25972150.0,25.688,,
2021-03-01,27274067.0,26.257,,
2021-04-01,25987925.0,26.331,,
2021-05-01,26324717.0,26.75,,
2021-06-01,26027415.0,26.266,,
2021-07-01,23661096.0,25.938,,
2021-08-01,25653848.0,26.865,,
2021-09-01,25318725.0,27.25,,
2021-10-01,27064203.0,27.724,,
2021-11-01,28685195.0,26.723,,
2021-12-01,29487597.0,26.828,,
2022-01-01,27360585.0,26.204,,
2022-02-01,24576330.0,25.938,,
2022-03-01,28341823.0,26.589,,
2022-04-01,28538712.0,26.798,,
2022-05-01,26664953.0,26.752,,
2022-06-01,26595782.0,25.918,,
2022-07-01,27482173.0,25.556,,
2022-08-01,26489647.0,26.188,,
2022-09-01,24513472.0,27.174,,
2022-10-01,24234613.0,26.67,,
2022-11-01,23656746.0,26.572,,
2022-12-01,25378824.0,26.309,25882333.05813927,26.59237577262292
2023-01-01,,,25894903.276569437,26.622645610486302
2023-02-01,,,26434455.65949796,26.753178564263628
2023-03-01,,,27010831.069931246,26.667558264154444
2023-04-01,,,27246156.933319774,26.502116283482014
2023-05-01,,,27368703.693015404,26.406926074680705
2023-06-01,,,26968465.229505405,26.367582621990138
2023-07-01,,,26768852.301957782,26.40199289237905
2023-08-01,,,26596491.07407172,26.43769408761508
2023-09-01,,,26416763.058802508,26.46681503303767
2023-10-01,,,26306859.428727154,26.479750108872597
2023-11-01,,,26261276.908536892,26.479126893753534
2023-12-01,,,26330427.85668634,26.492580265852585
